delivery_date,delivery_number,recipent_name,serial_no_id
20/8/2024,37924, CONPLAS INDUSTRIAL PLC ,20877
21/09/2024,37161,VINA TRADE AND INDUSTRY PLC,20977
21/9/2024,37160,VINA TRADE AND INDUSTRY PLC,20963
21/9/2024,37159,VINA TRADE AND INDUSTRY PLC,20955
21/9/2024,37158, EVER BRIGHT PLASTIC MANUFACTURING PRIVATE ENTERPRISE ,20980
21/9/2024,37157, EVER BRIGHT PLASTIC MANUFACTURING PRIVATE ENTERPRISE ,20980
20/09/2024,37156,VINA TRADE AND INDUSTRY PLC,20977
20/9/2024,37155,VINA TRADE AND INDUSTRY PLC,20955
20/9/2024,37154,HUI HUANG INDUSTRIES PLC,20967
19/09/2024,37153,VINA TRADE AND INDUSTRY PLC,20977
19/9/2024,37152,VINA TRADE AND INDUSTRY PLC,20963
19/9/2024,37151,VINA TRADE AND INDUSTRY PLC,20955
19/09/2024,37150, CRANE PLC ,20975
19/9/2024,37149,HUI HUANG INDUSTRIES PLC,20967
19/9/2024,37148,START SHOE AND SLIPPER MANUFACTURING PLC,20957
19/9/2024,37147,START SHOE AND SLIPPER MANUFACTURING PLC,20956
18/09/2024,37146,VINA TRADE AND INDUSTRY PLC,20977
18/9/2024,37145,VINA TRADE AND INDUSTRY PLC,20963
18/9/2024,37144,VINA TRADE AND INDUSTRY PLC,20955
18/9/2024,37143,HUI HUANG INDUSTRIES PLC,20967
17/9/2024,37142,VINA TRADE AND INDUSTRY PLC,20964
17/9/2024,37141,VINA TRADE AND INDUSTRY PLC,20963
17/9/2024,37140,VINA TRADE AND INDUSTRY PLC,20955
17/9/2024,37139,HUI HUANG INDUSTRIES PLC,20967
16/9/2024,37138,HUI HUANG INDUSTRIES PLC,20967
14/9/2024,37137,VINA TRADE AND INDUSTRY PLC,20964
14/9/2024,37136,HUI HUANG INDUSTRIES PLC,20967
13/9/2024,37135,VINA TRADE AND INDUSTRY PLC,20963
13/9/2024,37134,VINA TRADE AND INDUSTRY PLC,20955
13/9/2024,37133,HUI HUANG INDUSTRIES PLC,20967
10/9/2024,37132,VINA TRADE AND INDUSTRY PLC,20964
10/9/2024,37131,VINA TRADE AND INDUSTRY PLC,20955
10/9/2024,37130,START SHOE AND SLIPPER MANUFACTURING PLC,20956
9/9/2024,37129,VINA TRADE AND INDUSTRY PLC,20955
