delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
36984,  4.00 ,EVA,100,25,Bag
36983,284, EVA ,7100,25,Bag
36985,626,RUBBER  BASE SLIPPER OUTER COMPOUND,15650,25,Bag
17837,  100.00 ,Waste Drum,2500,25,Bag
36986,  340.00 , EVA ,8500,25,Bag
36989,1087,RUBBER  BASE SLIPPER OUTER COMPOUND,27175,25,Bag
36987,6568,RUBBER  BASE SLIPPER SOLE COMPOUND,164200,25,Bag
36988,2347,RUBBER  BASE SLIPPER SOLE COMPOUND,58675,25,Bag
37101,736,RUBBER  BASE SLIPPER OUTER COMPOUND,18400,25,Bag
37100,  2440.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,61000,25,Bag
36865,  4.00 ,Master Bach,100,25,Bag
36854,  195.00 , EVA ,4875,25,Bag
36859,  340.00 , EVA ,8500,25,Bag
36869,821,RUBBER  BASE SLIPPER SOLE COMPOUND,20525,25,Bag
36871,5206,RUBBER  BASE SLIPPER SOLE COMPOUND,130150,25,Bag
36870,5041,RUBBER  BASE SLIPPER OUTER COMPOUND,126025,25,Bag
36872,  352.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,8800,25,Bag
36998,340,EVA,8500,25,Bag
36993,  200.00 ,HDPE,5000,25,Bag
36994,  200.00 ,HDPE,5000,25,Bag
36995,  200.00 ,HDPE,5000,25,Bag
36996,  200.00 ,HDPE,5000,25,Bag
36997,  200.00 ,HDPE,5000,25,Bag
36990,  106.00 , EVA ,2650,25,Bag
36991,  2.00 ,Master Bach,50,25,Bag
3700,177,RUBBER  BASE SLIPPER OUTER COMPOUND,4425,25,Bag
36999,4299,RUBBER  BASE SLIPPER SOLE COMPOUND,107475,25,Bag
37001,1963,RUBBER  BASE SLIPPER OUTER COMPOUND,49075,25,Bag
37002,  70.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,1750,25,Bag
37102,  330.00 ,EVA,8250,25,Bag
17887,  88.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,2200,25,Bag
37104,1181,RUBBER  BASE SLIPPER OUTER COMPOUND,29525,25,Bag
37103,  2686.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,67150,25,Bag
36864,342, EVA ,8550,25,Bag
36866,  200.00 , EVA ,5000,25,Bag
17802,  29.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,725,25,Bag
36877,5078,RUBBER  BASE SLIPPER SOLE COMPOUND,126950,25,Bag
36878,  458.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,11450,25,Bag
36873,  543.00 ,EVA SHEET COMPOUND 93,13575,25,Bag
36879,608,EVA SHEET COMPOUND 94,15200,25,Bag
17804,  100.00 ,Waste Drum,2500,25,Bag
36876,  260.00 ,LDPE,6500,25,Bag
17803,  160.00 , PVC CABLE GRANUEL COMPOUND 5016 CC ,4000,25,Bag
17888,  85.00 ,PVC CABLE GRANEL COMPOUND 5017,2125,25,Bag
17888,  40.00 ,PVC CABLE GRANEL COMPOUND 5016,1000,25,Bag
37105,  38.00 ,MASTER BATCH 4323,950,25,Bag
37106,  40.00 ,MASTER BATCH 4321,1000,25,Bag
37107,3947,RUBBER  BASE SLIPPER SOLE COMPOUND,98675,25,Bag
37108,  582.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,14550,25,Bag
37109,  626.00 ,RUBBER COMPOUND 1055,15650,25,Bag
37110,  200.00 ,PVC OFFGRADE COMPOUND GRADE ,5000,25,Bag
17889,  110.00 , PVC SOFT GRANUEL COMPOUND 5040 SSc ,2750,25,Bag
36883,  40.00 ,MASTER BATCH 4164,1000,25,Bag
36882,  16.00 ,Master Bach,400,25,Bag
36867,200, EVA ,5000,25,Bag
36881,  147.00 ,EVA,3675,25,Bag
36884,5359,RUBBER  BASE SLIPPER SOLE COMPOUND,133975,25,Bag
36885,588,RUBBER  BASE SLIPPER OUTER COMPOUND,14700,25,Bag
36886,362,EVA SHEET COMPOUND 95,9050,25,Bag
37003,290,EVA,7250,25,Bag
17838,  150.00 ,PVC SOFT CRYSTAL COMPOUND 25037,3750,25,Bag
17839,  114.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,2850,25,Bag
37004,  1369.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,34225,25,Bag
37005,4531,RUBBER  BASE SLIPPER OUTER COMPOUND,113275,25,Bag
17842,  50.00 ,,1250,25,Bag
17842,  50.00 ,Plastic Waste Drums,1250,25,Bag
17892,  15.00 ,PVC CABLE GRANEL COMPOUND 5018,375,25,Bag
37111,  211.00 ,Filler Compound 1021,5275,25,Bag
37112,  29.00 ,Filler Compound 1022,725,25,Bag
37113,2057,RUBBER  BASE SLIPPER SOLE COMPOUND,51425,25,Bag
37114,  1252.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,31300,25,Bag
17891,  90.00 , PVC SOFT GRANUEL COMPOUND 5040 SSc ,2250,25,Bag
36887,  340.00 ,EVA,8500,25,Bag
36888,  200.00 ,EVA,5000,25,Bag
36890,4234,RUBBER  BASE SLIPPER SOLE COMPOUND,105850,25,Bag
36891,  1113.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,27825,25,Bag
37009,  1.00 ,MASTER BATCH 5015,25,25,Bag
37008,330,EVA,8250,25,Bag
17841,  150.00 ,PVC SOFT CRYSTAL COMPOUND 25038,3750,25,Bag
37010,2937,RUBBER  BASE SLIPPER SOLE COMPOUND,73425,25,Bag
37011,1018,RUBBER  BASE SLIPPER OUTER COMPOUND,25450,25,Bag
37006,  172.00 ,RUBBER  SOLE COMPOUND 191,4300,25,Bag
