delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
36851,150,EVA ,3,750,BAG
37068,1,BLUE PIGMENT 504A-1,25,25,BAG
36984,4,EVA,100,25,BAG
36998,340,EVA,8,500,BAG
37102,330,EVA,8,250,BAG
36881,147,EVA,3,675,BAG
37003,290,EVA,7,250,BAG
37019,340,EVA,8,500,BAG
36896,200,EVA,5000,25,BAG
37022,356,EVA,8900,25,BAG
37124,200,EVA,5000,25,BAG
37130,190,EVA,4750,25,BAG
36903,340,EVA,8500,25,BAG
36910,340,EVA,8500,25,BAG
36916,138,EVA,3450,25,BAG
37133,200,EVA,5000,25,BAG
37136,200,EVA,5000,25,BAG
36921,340,EVA,8500,25,BAG
36922,340,EVA,8500,25,BAG
36926,340,EVA,8500,25,BAG
36928,179,EVA,4475,25,BAG
37138,200,EVA,5000,25,BAG
36931,300,EVA,7500,25,BAG
37139,202,EVA,5050,25,BAG
36935,340,EVA,8500,25,BAG
37143,340,EVA,8500,25,BAG
36938,161,EVA,4025,25,BAG
36939,340,EVA,8500,25,BAG
37149,160,EVA,4000,25,BAG
37147,200,EVA,5000,25,BAG
37148,57,EVA,1425,25,BAG
36940,340,EVA,8500,25,BAG
36941,340,EVA,8500,25,BAG
37154,106,EVA,2650,25,BAG
36943,340,EVA,8500,25,BAG
36944,200,EVA,5000,25,BAG
36948,340,EVA,8500,25,BAG
36949,100,EVA,2500,25,BAG
36887,340,EVA,,500,BAG
36888,200,EVA,,0,BAG
37008,330,EVA,,250,BAG
37013,340,EVA,,500,BAG
37121,80,EVA,,0,BAG
36892,295,EVA,,375,BAG
36983,284,EVA ,7,100,BAG
36986,340,EVA ,8,500,BAG
37099,200,EVA ,5,0,BAG
36854,195,EVA ,4,875,BAG
36859,340,EVA ,8,500,BAG
36990,106,EVA ,2,650,BAG
36867,200,EVA ,5,0,BAG
37023,340,EVA ,8500,25,BAG
37027,310,EVA ,7750,25,BAG
37030,261,EVA ,6525,25,BAG
37033,240,EVA ,6000,25,BAG
37037,200,EVA ,5000,25,BAG
36923,4,EVA ,100,25,BAG
37041,291,EVA ,7275,25,BAG
37047,24,EVA ,600,25,BAG
36932,4,EVA ,100,25,BAG
37059,334,EVA ,8350,25,BAG
36952,302,EVA ,7550,25,BAG
36958,340,EVA ,8500,25,BAG
36961,340,EVA ,8500,25,BAG
36873,543,EVA SHEET COMPOUND 101,13,575,BAG
36879,608,EVA SHEET COMPOUND 101,15,200,BAG
36886,362,EVA SHEET COMPOUND 101,9,50,BAG
36905,388,EVA SHEET COMPOUND 101,9700,25,BAG
36907,395,EVA SHEET COMPOUND 101,9875,25,BAG
36914,704,EVA SHEET COMPOUND 101,17600,25,BAG
36927,515,EVA SHEET COMPOUND 101,12875,25,BAG
37111,211,FILLER COMPOUND,,275,BAG
37112,29,FILLER COMPOUND,,25,BAG
37012,1,FILLER COMPOUND,,25,BAG
37043,200,FILLLER COMPOUND B GRADE ,5000,25,BAG
36993,200,HDPE,5,0,BAG
36994,200,HDPE,5,0,BAG
36995,200,HDPE,5,0,BAG
36996,200,HDPE,5,0,BAG
36997,200,HDPE,5,0,BAG
37150,40,HDPE,1000,25,BAG
36876,260,LDPE,6,500,BAG
36865,4,MASTER BATCH,100,25,BAG
36991,2,MASTER BATCH,50,25,BAG
36882,16,MASTER BATCH,400,25,BAG
37052,213,MASTER BATCH,5325,25,BAG
37053,213,MASTER BATCH,5325,25,BAG
37064,214,MASTER BATCH,5350,25,BAG
37157,200,MASTER BATCH,5000,25,BAG
37158,200,MASTER BATCH,5000,25,BAG
37071,3,MASTER BATCH,75,25,BAG
36883,40,MASTER BATCH,1,0,BAG
37924,8,MASTER BATCH,200,25,BAG
36963,30,MASTER BATCH,750,25,BAG
37071,17,MASTER BATCH,425,25,BAG
37106,40,MASTER BATCH,1,0,BAG
37071,20,MASTER BATCH,500,25,BAG
36909,20,MASTER BATCH,500,25,BAG
37105,38,MASTER BATCH,950,25,BAG
37042,3,MASTER BATCH,75,25,BAG
37058,20,MASTER BATCH,500,25,BAG
37009,1,MASTER BATCH,,25,BAG
37063,10,PE WAX,250,25,BAG
