serial_no,unit_price,order_quantity,total_price,description
20843,238.33,600,142998,A GRADE PAIR HIGHLANDER  JEANS SHOES 007
20823,274.35,600,164610,A GRADE PAIR HIGHLANDER  JEANS SHOES 007
20949,263.91,24,6333.84,A GRADE PAIR HIGHLANDER CANVAS SHOE 901
20841,210.5,900,189450,A GRADE PAIR HIGHLANDER CANVAS SHOE 902
20822,223.04,900,200736,A GRADE PAIR HIGHLANDER CANVAS SHOE 906
20842,,217.45,900,195705,A GRADE PAIR HIGHLANDER CANVAS SHOE 906
20893,,223.04,360,80294.4,A GRADE PAIR HIGHLANDER CANVAS SHOE 906
20872,207.66,1920,398707.2,"A GRADE PAIR HIGHLANDER CANVAS SHOE 906 720PAIRS,A GRADE PAIR HIGHLANDER CANVAS SHOE MUS 009 480PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2023PAIRS"
20945,248.26,480,119164.8,A GRADE PAIR HIGHLANDER CANVAS SHOE 907
20926,1235.06,155,191434.3,"A GRADE PAIR HIGHLANDER CANVAS SHOE 919 19PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401 65PAIRS AND A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOE SS003 71PAIRS"
20970,240.43,36,8655.48,A GRADE PAIR HIGHLANDER CANVAS SHOE 922
20928,A GRADE PAIR HIGHLANDER CANVAS SHOE 922 36PAIRS ,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 36PAIRS,A GRADE PAIR HIGHLANDER CANVAS SHOE MUS 010 36PAIRS,A GRADE PAIR HIGHLANDER CANVAS SHOE 910 36PAIRS"
20944,219.96,120,26395.2,"A GRADE PAIR HIGHLANDER CANVAS SHOE 922 36PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2026 48PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 36PAIRS"
20909,215.28,252,54250.56,"A GRADE PAIR HIGHLANDER CANVAS SHOES 910 36 PAIR,A GRADE PAIR HIGHLANDER CANVAS SHOE 922 36 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2018 48 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2014 48 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 36 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2026 48 PAIR"
20982,304.78,2,609.56,A GRADE PAIR HIGHLANDER CANVAS SHOES MUS008 1 PAIR AND A GRADE PAIR HIGHLANDER CANVAS SHOES MUS010 1 PAIR
20854,210.205,204,42881.82,"A GRADE PAIR HIGHLANDER FLIP FLOP 2006 48PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 72 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2018 48PAIR,A GRADE PAIR HIGHLANDER CANVAS SHOE 910 36PAIR"
20844,177.02,1800,318636,A GRADE PAIR HIGHLANDER FLIP FLOP 2023
20896,182.61,360,65739.6,A GRADE PAIR HIGHLANDER FLIP FLOP 2023
20950,208.7,36,7513.2,A GRADE PAIR HIGHLANDER FLIP FLOP 2023
20835,205.22,120,24626.4,"A GRADE PAIR HIGHLANDER FLIP FLOP 2023 72PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2018 48 PAIRS"
20833,224.68,156,35050.08,"A GRADE PAIR HIGHLANDER FLIP FLOP 2026 48 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 36 PAIR,A GRADE PAIR HIGHLANDER CANVAS SHOE 922 36 PAIR,A GRADE PAIR HIGHLANDER CANVAS SHOE 910 36 PAIR"
20895,173.91,480,83476.8,A GRADE PAIR HIGHLANDER FLIPFLOP 2006
20824,173.91,960,166953.6,A GRADE PAIR HIGHLANDER FLIPFLOP 2014
20976,200,48,9600,A GRADE PAIR HIGHLANDER FLIPFLOP 2014
20966,213.04,48,10225.92,A GRADE PAIR HIGHLANDER FLIPFLOP 2026
20919,902.01,67,60434.67,"A GRADE PAIR HIGHLANDER LEATHER SHOE 1206 8 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE 1226 4 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE 1223 4 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE 507 17 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE 509 17 PAIRSA GRADE PAIR HIGHLANDER LEATHER SHOE 511 17 PAIRS"
20921, 907.95,4,3631.8,"A GRADE PAIR HIGHLANDER LEATHER SHOE 507 3 PAIR,A GRADE PAIR HIGHLANDER LEATHER SHOE 509 1 PAIR"
20929,1000,4,4000,A GRADE PAIR HIGHLANDER LEATHER SHOE 509
20940,1000,1,1000,A GRADE PAIR HIGHLANDER LEATHER SHOE 509
20904,928.7,83,77082.1,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401
20911,956.52,2,1913.04,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401
20906,1000,8,8000,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401
20927,956.52,329,314695.08,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401
20910,928.7,10,9287,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401
20984,1086.96,5,5434.8,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401
20972,1036.57,151,156522.07,"A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401 127 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 403 24 PAIRS"
20914,1065.22,2,2130.44,"A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401 1PAIR,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 403 1 PAIR"
20837,913.04,41,37434.64,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 403
20866,934.78,8,7478.24,"A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 403 6PAIR,A GRADE PAIR HIGHLANDER LEATHER SHOE 1206 2 PAIR"
20897,1052.17,40,42086.8,"A GRADE PAIR HIGHLANDER LEATHER SHOES PVC SOLE 401 29 PAIRS,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS009 11 PAIRS"
20851,1739.13,2,3478.26,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS003
20871,1739.13,6,10434.78,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS003
20870,299.746,204,61148.18,"A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS003 12PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 144PAIRS, A GRADE PAIR HIGHLANDER FLIP FLOP 2026 48PAIRS"
20882,1652.17,6,9913.02,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS005
20880,1110.36,275,305349,"A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS005 92PAIR,A GRADE PAIR HIGHLANDER LEATHER SHOES PVC SOLE 401 48PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 403 135PAIRS"
20848,1782.61,201,358304.61,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS007
20968,1730.66,3758,6503820.28,"A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS007 1540 PAIRS,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS003 312 PAIRS AND A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SB001 1906 PAIRS"
20881,1638.86,85,139303.1,"A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS007 77 PAIR, A GRADE PAIR HIGHLANDER CANVAS SHOE  MUS 010 8 PAIR"
20898,1304.35,18,23478.3,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS009
20905,1304.35,12,15652.2,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS009
20903,1644.35,103,169368.05,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021
20902,1644.35,374,614986.9,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021
20899,1644.35,59,97016.65,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021
20900,1644.35,338,555790.3,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021
20901,1644.35,393,646229.55,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS021
20948,1956.52,43,84130.36,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS025
20978,1956.52,12,23478.24,A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOES SS025
20894,269.13,720,193773.6,A GRADE PAIR HIGHLANDER SPIKE
20873,129182.4,A GRADE PAIR HIGHLANDER SPIKE
20946,240,64591.2,A GRADE PAIR HIGHLANDER SPIKE
