serial_no,unit_price,description,order_quantity,total_price
20843,238.33,A GRADE PAIR HIGHLANDER  JEANS SHOES 007,600,142998
20823,274.35,A GRADE PAIR HIGHLANDER  JEANS SHOES 007,600,164610
20949,263.91,A GRADE PAIR HIGHLANDER CANVAS SHOE 901,24,6333.84
20841,210.5,A GRADE PAIR HIGHLANDER CANVAS SHOE 902,900,189450
20822,223.04,A GRADE PAIR HIGHLANDER CANVAS SHOE 906,900,200736
20842,217.45,A GRADE PAIR HIGHLANDER CANVAS SHOE 906,900,195705
20893,223.04,A GRADE PAIR HIGHLANDER CANVAS SHOE 906,360,80294.4
20872,207.66,"A GRADE PAIR HIGHLANDER CANVAS SHOE 906 720PAIRS,A GRADE PAIR HIGHLANDER CANVAS SHOE MUS 009 480PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2023PAIRS",1920,398707.2
20945,248.26,A GRADE PAIR HIGHLANDER CANVAS SHOE 907,480,119164.8
20926,1235.06,"A GRADE PAIR HIGHLANDER CANVAS SHOE 919 19PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401 65PAIRS AND A GRADE PAIR HIGHLANDER RUBBER SOLE SAFETY SHOE SS003 71PAIRS",155,191434.3
20970,240.43,A GRADE PAIR HIGHLANDER CANVAS SHOE 922,36,8655.48
20944,219.96,"A GRADE PAIR HIGHLANDER CANVAS SHOE 922 36PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2026 48PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 36PAIRS",120,26395.2
20909,215.28,"A GRADE PAIR HIGHLANDER CANVAS SHOES 910 36 PAIR,A GRADE PAIR HIGHLANDER CANVAS SHOE 922 36 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2018 48 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2014 48 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 36 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2026 48 PAIR",252,54250.56
20982,304.78,A GRADE PAIR HIGHLANDER CANVAS SHOES MUS008 1 PAIR AND A GRADE PAIR HIGHLANDER CANVAS SHOES MUS010 1 PAIR,2,609.56
20854,210.205,"A GRADE PAIR HIGHLANDER FLIP FLOP 2006 48PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 72 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2018 48PAIR,A GRADE PAIR HIGHLANDER CANVAS SHOE 910 36PAIR",204,42881.82
20844,177.02,A GRADE PAIR HIGHLANDER FLIP FLOP 2023,1800,318636
20896,182.61,A GRADE PAIR HIGHLANDER FLIP FLOP 2023,360,65739.6
20950,208.7,A GRADE PAIR HIGHLANDER FLIP FLOP 2023,36,7513.2
20835,205.22,"A GRADE PAIR HIGHLANDER FLIP FLOP 2023 72PAIRS,A GRADE PAIR HIGHLANDER FLIP FLOP 2018 48 PAIRS",120,24626.4
20833,224.68,"A GRADE PAIR HIGHLANDER FLIP FLOP 2026 48 PAIR,A GRADE PAIR HIGHLANDER FLIP FLOP 2023 36 PAIR,A GRADE PAIR HIGHLANDER CANVAS SHOE 922 36 PAIR,A GRADE PAIR HIGHLANDER CANVAS SHOE 910 36 PAIR",156,35050.08
20895,173.91,A GRADE PAIR HIGHLANDER FLIPFLOP 2006,480,83476.8
20824,173.91,A GRADE PAIR HIGHLANDER FLIPFLOP 2014,960,166953.6
20976,200,A GRADE PAIR HIGHLANDER FLIPFLOP 2014,48,9600
20966,213.04,A GRADE PAIR HIGHLANDER FLIPFLOP 2026,48,10225.92
20919,902.01,"A GRADE PAIR HIGHLANDER LEATHER SHOE 1206 8 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE 1226 4 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE 1223 4 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE 507 17 PAIRS,A GRADE PAIR HIGHLANDER LEATHER SHOE 509 17 PAIRSA GRADE PAIR HIGHLANDER LEATHER SHOE 511 17 PAIRS",67,60434.67
20921,907.95,"A GRADE PAIR HIGHLANDER LEATHER SHOE 507 3 PAIR,A GRADE PAIR HIGHLANDER LEATHER SHOE 509 1 PAIR",4,3631.8
20929,1000,A GRADE PAIR HIGHLANDER LEATHER SHOE 509,4,4000
20940,1000,A GRADE PAIR HIGHLANDER LEATHER SHOE 509,1,1000
20904,928.7,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401,83,77082.1
20911,956.52,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401,2,1913.04
20906,1000,A GRADE PAIR HIGHLANDER LEATHER SHOE PVC SOLE 401,8,8000
