PR_no,item_name,tttt,price,before_vat,total_price,quantity,item_measurement,id_numeric,hs_code,remaining,desc
1210,STATIONARY MATERIAL,Stationary Material,15173.91,15173.91,17450,1,,269,,1,
1208,PURCHASE OF UPS BATTERY & SERVICE CHARGE,Purchase of UPS Battery & Service Charge,8000,8000,9200,1,,327,,1,
1151,LED SOLAR STREET 6 WATT,Led Solar Street 6 Watt,9130.43,54782.58,62999.97,6,,204,,6,
1157,200 WATT LED FLOOD LIGHT,200 Watt LED Flood Light,6500,6500,7475,1,,205,,1,
1143,STATIONARY,Stationary,24130.43,24130.43,27750,1,,206,,1,
1158,EDMS TRADING,EDMS Trading,1473.91,16213.01,18644.96,1,,207,,1,
1159,SOFT,Soft,50113.04,50113.04,57630,1,,208,,1,
1160,ETHIO ASIAN,Ethio Asian,16086.65,16086.65,18499.65,1,,209,,1,
1162,LAUNDARY SOAP,Laundary Soap,49000,49000,56350,1,,210,,1,
1163,LAUNDARY SOAP,Laundary Soap,70304.35,70304.35,80850,1,,211,,1,
1164,CLEANING MATERIALS,Cleaning Materials,6686.97,6686.97,7690.02,1,,212,,1,
1169,UNIFORM,Uniform,136660,136660,157159,1,,213,,1,
1171,STATIONARY,Stationary,20829.57,20829.57,23954.01,1,,214,,1,
1173,STATIONARY,Stationary,15522.95,15522.95,17851.39,1,,215,,1,
1174,STATIONARY,Stationary,30608.7,30608.7,35200.01,1,,216,,1,
1175,STATIONARY,Stationary,16003.48,16003.48,18404,1,,217,,1,
1177,STAPLER WIRE,Stapler Wire,37.39,7478,8599.7,200,,219,,200,
1179,DELL MOUSE,Dell Mouse,1200,1200,1380,1,,220,,1,
1185,COTTON GLOVE,Cotton Glove,30,23040,26496,768,,223,,768,
1194,UNIFORM,Uniform,56310,56310,64756.5,1,,226,,1,
1195,GRINDER,Grinder,5913.04,5913.04,6800,1,,227,,1,
1201,FB ABUJADI GRADE,FB Abujadi Grade,13200,13200,15180,1,,229,,1,
1204,PAINT MATERIALS,Paint Materials,2695.69,2695.69,3100.04,1,,256,,1,
1206,W-0039 THINNER,W-0039 Thinner,1304.35,36521.8,42000.07,28,Litter,258,,28,
1215,COTTON T-SHIRT,Cotton T-Shirt,49770,49770,57235.5,1,,279,,1,
1180,SPARE FOR REFFINE MACHINE,Spare for reffine Machine,8500,8500,9775,1,,313,,1,
1182,CAST ELECTROD FOR  MACHINE,Cast Electrod for  Machine,7000,7000,8050,1,,314,,1,
1182,CAST ELECTROD FOR  MACHINE,Cast Electrod for  Machine,7000,7000,8050,1,,315,,1,
1184,BEARING FOR MACHINE,Bearing for machine,6000,6000,6900,1,,316,,1,
1188,FLORCENT 18W FOR LIGHT MAINTENANCE,Florcent 18W for light maintenance,4637.5,4637.5,5333.13,1,,317,,1,
1189,FLORECNT 18W & STARTER FOR MAINTENANCE OF LIGHT,Florecnt 18W & Starter for maintenance of light,9275,9275,10666.25,1,,318,,1,
1190,100 WATE LED FLORECNT MAINTENANCE OF  LIGHT,100 Wate Led florecnt maintenance of  Light,1,15984,18381.6,15984,,319,,15984,
1191,PURCHASE OF TUBEL LAMP 36W FOR MAINTENANCE,Purchase of tubel Lamp 36w for maintenance,13000,13000,14950,1,,320,,1,
1191,PURCHASE OF TUBEL LAMP 36W FOR MAINTENANCE,Purchase of tubel Lamp 36w for maintenance,13000,13000,14950,1,,321,,1,
1192,PURCHASE OF WIRE 2.5MM2 FOR MAINTENANCE,Purchase of wire 2.5mm2 for maintenance,2997.8,2997.8,3447.47,1,,322,,1,
1193,TONER 83A,Toner 83A,2600,2600,2990,1,,323,,1,
1196,PP BAGS 80 GRAM,PP bags 80 Gram,273900,273900,314985,1,,324,,1,
1199,120 GB SSD & INTERNAL FOR HARD DISK,120 GB SSD & Internal for hard disk,8800,8800,10120,1,,325,,1,
1205,MASTER CILINDER FOR P.N# 3-47528,Master Cilinder for P.N# 3-47528,8500,8500,9775,1,,326,,1,
1209,PURCHASE OF BEARING FOR MACHINE,Purchase of Bearing for Machine,15200,15200,17480,1,,328,,1,
1214,PURCHASE OF BRK-NXB 32A3PH,Purchase of BRK-NXB 32A3ph,1600,1600,1840,1,,329,,1,
1220,PURCHASE OF POWER CABLE,Purchase of power Cable,6743.46,6743.46,7754.98,1,,330,,1,
1128,KADIFIX 2 PRIMER - 180 KGS,Kadifix 2 Primer - 180 Kgs,62860,251440,289156,4,,138,,0,
1187,PP BAGS 61*85 GM SINGLE SIDE PRINT,Pp Bags 61*85 GM Single Side Print,18.83,282450,324817.5,15000,,225,,0,
1181,CALCIUM CARBONATE,Calcium Carbonate,6.61,66100,76015,10000,,221,,0,
1212,RUBBER SHEET,Rubber Sheet,256.52,5217616.8,6000259.32,20340,,277,,0,
1176,CALCIUM CARBONATE,Calcium Carbonate,10.5,525000,603750,50000,,218,,0,
1211,RUBBER SHEET,Rubber Sheet,234,2340000,2691000,10000,,270,,-40,
1207,PP PLASTIC BAG,PP Plastic Bag,305,1525000,1753750,5000,,264,,0,
1213,PP LAMINATED BAGS,PP Laminated Bags,19.57,391400,450110,20000,,278,,0,
1183,PREPARATION GLOVE,Preparation Glove,350.5,630900,725535,1800,,222,,0,
1186,CAMBRIL BLACK,Cambril Black,232.61,302393,347751.95,1300,,224,,0,
1206,AOL-1020 WHITE,AOL-1020 White,1804.35,50521.8,58100.07,28,Pcs,257,,0,
1202,FIN/GOAT SUEDE UPPER,Fin/Goat Suede upper,59.28,23712,27268.8,400,,231,,0,
1217,SOLVENT WASH(1 LITER),Solvent Wash(1 Liter),170,34340,39491,202,drums,333,,0,
