vendor_name,PR_no,date,site_name,requested_by,approved_by,PR_total_price,remaining,PR_before_vat,status,payment_type,total_quantity,measurement_type,freight
NEW WAVE INDUSTRIES PLC,1279,2024-01-15,Kality,KAPIL,HARSH,675625,0,587500,approved,,50000,kgs,
Capital Stationary,1421,2024-07-01,Head Office,Tsedeniya,,4129.99,1,3591.3,approved,,1,,
VINA TRADE AND INDUSTRY,sc4515,2024-04-22,Kality 1,KAPIL,,14587.29,0,12684.6,approved,,1620,kgs,
VINA TRADE AND INDUSTRY,sc4423,2024-03-21,Kality 1,MILLION,HARSH,14587.29,0,12684.6,approved,credit,1620,kgs,
NEW WAVE INDUSTRIES PLC,1409,2024-07-04,Kality 1,KAPIL,,410550,0,357000,approved,,30000,kgs,
Girum Electrical,1370,2024-05-23,Heade office,Dawit,,40899.44,3,35564.73,approved,,3,pieces,
Semira Welechefo,1387,2024-07-04,Gelan 3,MUKESH,,22174.94,528,19282.56,approved,,528,pieces,
VINA TRADE AND INDUSTRY,sc4303,2024-02-12,Kality 1,KAPIL,HARSH,15847.92,0,13780.8,approved,credit,1760,kgs,
VINA TRADE AND INDUSTRY,Sc 4537,2024-05-04,Kality 1,KAPIL,,14227.11,1580,12371.4,approved,,1580,kgs,
SUNISH RAMENDRA SHAH,1397,2024-07-05,Kality 1,KAPIL,,3220,2,2800,approved,,2,pieces,
BATU TENNERY PLC,1418,2024-07-06,Gelan,MUKESH,,74750,5000,65000,approved,,5000,,
VINA TRADE AND INDUSTRY,sc4444,2024-03-06,Kality 1,KAPIL,HARSH,15307.65,0,13311,approved,credit,1700,kgs,
VINA TRADE AND INDUSTRY,sc4456,2024-03-13,Kaity 1,KAPIL,,12066.03,0,10492.2,approved,credit,1340,kgs,
SUNISH RAMENDRA SHAH,1351,2024-04-26,Gelan,MUKESH,HARSH,13800,1,12000,approved,,1,pieces,
VINA TRADE AND INDUSTRY,sc4521,2024-04-26,Kality 1,KAPIL,,13326.66,0,11588.4,approved,,1480,kgs,
Samuel Niqussie wondimu,1334,2024-03-22,Kality 1,KAPIL,,4140,1,3600,approved,,1,pieces,
Yared Bizuwork Debebe,1336,2024-03-26,3-67129,Setegne,,17000,1,14782.61,approved,,1,pieces,
VINA TRADE AND INDUSTRY,sc4117,2023-09-06,Kality,KAPIL,HARSH,46823.4,2820,40716,approved,,5200,kgs,
